source,target
30030180,6512012436
6512012436,30030180
6512012436,8527067075
8527067075,6512012436
8527067075,6370272008
6370272008,8527067075
6370272008,6370272009
6370272009,6370272008
6370272009,30030181
30030181,6370272009
30030181,6370272007
6370272007,30030181
6370272007,30215034
30215034,6370272007
652729756,6361965275
6361965275,652729756
6361965275,30115542
30115542,6361965275
30115542,652730049
652730049,30115542
652730049,652730056
652730056,652730049
652730056,293111043
293111043,652730056
293111043,6287461364
6287461364,293111043
6287461364,652736454
652736454,6287461364
652736454,652736457
652736457,652736454
652736457,6176655862
6176655862,652736457
6176655862,652736458
652736458,6176655862
652736458,6370272003
6370272003,652736458
6370272003,30030188
30030188,6370272003
30030188,6370272006
6370272006,30030188
6370272006,6370196746
6370196746,6370272006
6370196746,30030182
30030182,6370196746
30030182,30030191
30030191,30030182
30030191,30215034
30215034,30030191
30215034,6370196747
6370196747,30215034
6370196747,260572796
260572796,6370196747
260572796,260573517
260573517,260572796
260573463,260572868
260572868,260573463
260572868,6370196745
6370196745,260572868
6370196745,30215035
30215035,6370196745
30215035,30030317
30030317,30215035
30030317,30030300
30030300,30030317
30030300,652736290
652736290,30030300
652736290,6370390602
6370390602,652736290
6370390602,652736298
652736298,6370390602
652736298,652736302
652736302,652736298
652736302,30030215
30030215,652736302
30030215,652729914
652729914,30030215
652729914,8527140586
8527140586,652729914
8527140586,6287461363
6287461363,8527140586
6287461363,652729918
652729918,6287461363
652729918,7154395250
7154395250,652729918
7154395250,293111048
293111048,7154395250
293111048,652736307
652736307,293111048
652736307,30115543
30115543,652736307
30115543,6361965276
6361965276,30115543
6361965276,6370196741
6370196741,6361965276
30030213,7154182636
7154182636,30030213
7154182636,30118815
30118815,7154182636
30118815,6396528298
6396528298,30118815
6396528298,7230947707
7230947707,6396528298
7230947707,8503003213
8503003213,7230947707
8503003213,6367863442
6367863442,8503003213
6367863442,9443659716
9443659716,6367863442
9443659716,1213110815
1213110815,9443659716
30030218,6367816419
6367816419,30030218
6367816419,6367816418
6367816418,6367816419
6367816418,6367816417
6367816417,6367816418
6367816417,30119049
30119049,6367816417
30119049,30119048
30119048,30119049
30119048,6367816416
6367816416,30119048
6367816416,6367816415
6367816415,6367816416
6367816415,6367816414
6367816414,6367816415
6367816414,6367816412
6367816412,6367816414
6367816412,6367816411
6367816411,6367816412
6367816411,6367816410
6367816410,6367816411
6367816410,6367816413
6367816413,6367816410
6367816413,1213110825
1213110825,6367816413
1213110825,1213117035
1213117035,1213110825
1213117035,1213110885
1213110885,1213117035
1213110885,5378552113
5378552113,1213110885
5378552113,6367816409
6367816409,5378552113
6367816409,8505781110
8505781110,6367816409
8505781110,1213110823
1213110823,8505781110
1213110823,6367816408
6367816408,1213110823
6367816408,6367863444
6367863444,6367816408
6367863444,6367816407
6367816407,6367863444
6367816407,6367816406
6367816406,6367816407
6367816406,6367816405
6367816405,6367816406
6367816405,6367816404
6367816404,6367816405
6367816404,6367816403
6367816403,6367816404
6367816403,1213110793
1213110793,6367816403
1213110793,30201067
30201067,1213110793
30119049,1352877473
1352877473,30119049
1352877473,6372331342
6372331342,1352877473
6372331342,30121679
30121679,6372331342
30121679,6372331341
6372331341,30121679
6372331341,6372331340
6372331340,6372331341
6372331340,30121682
30121682,6372331340
30121682,1288828128
1288828128,30121682
1288828128,30121761
30121761,1288828128
30121761,30121683
30121683,30121761
30121683,30121684
30121684,30121683
30121683,30121762
30121762,30121683
30121762,30121685
30121685,30121762
